LOC,CyclomaticComplexity,ParameterCount,IsBuggy
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.168831,0.25,0.25,no
0.025974,0,0,no
0.051948,0,0.25,no
0.116883,0,0,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.5,no
0.025974,0,0.25,no
0.051948,0.125,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.051948,0.125,0.25,no
0.025974,0,0.25,no
0.077922,0.125,0.25,no
0.194805,0.125,0,no
0.12987,0.125,0,no
0.012987,0,0,no
0.025974,0,0.25,no
0.038961,0,0.75,no
0.506494,0.875,1,no
1,0.75,1,no
0.025974,0,0.5,no
0.922078,0.875,0.75,no
0.441558,0.25,0.5,no
0.272727,0.125,0.75,no
0.415584,0.125,0.75,no
0.324675,0.125,0.5,no
0.142857,0.125,0.25,no
0.155844,0.125,0.25,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.194805,0.375,0.25,no
0.025974,0,0,no
0.090909,0.125,0.25,no
0.194805,0,0,no
0.038961,0,0,no
0.623377,0.875,0.25,no
0.038961,0,0,no
0.038961,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.012987,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.012987,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.207792,0.25,0.75,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0,no
0.064935,0,0,no
0.272727,0.375,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.116883,0.25,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.038961,0,0.25,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0.25,no
0.064935,0.125,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.090909,0,0.5,no
0.272727,0.375,0.25,no
0.298701,0.875,0.5,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
0.025974,0,0.25,no
0.025974,0,0,no
