Project,MethodName,Release,LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/position(),4.0.0,3,1,0,0,1,1,168,0,0,168.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/size(),4.0.0,3,1,0,0,1,1,168,0,0,168.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/flush(boolean),4.0.0,14,3,1,2,1,1,168,0,0,168.0,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java/read(ByteBuffer, long)",4.0.0,59,13,2,12,3,2,173,2,3,58.333333333333336,no
BOOKKEEPER,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/EntryLogger(ServerConfiguration, Bookie)",4.0.0,23,2,2,2,2,2,206,4,0,105.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/GarbageCollectorThread(),4.0.0,3,1,0,0,1,1,200,0,0,200.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/run(),4.0.0,24,4,0,2,3,2,249,15,0,88.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcLedgers(),4.0.0,13,2,0,0,3,3,247,13,0,86.66666666666667,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/gc(long),4.0.0,8,2,1,0,2,2,246,12,0,129.0,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/doGcEntryLogs(),4.0.0,36,6,0,5,4,3,263,95,0,89.5,no
BOOKKEEPER,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java/createLogId(long),4.0.0,17,2,1,2,3,2,210,1,0,70.33333333333333,no
