LOC,CyclomaticComplexity,ParameterCount,NumberOfBranches,NR,NAuth,stmtAdded,stmtDeleted,elseAdded,avgChurn,IsBuggy
0.392802,0.322572,0,0.172227,0.17793,0.265974,0.318558,0,0,0.609127,no
0.174579,0.161286,0.786883,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.065467,0,0.196721,0,0.17793,0.265974,0.318558,0,0,0.609127,no
0.676493,0.483858,0.393442,0.688907,0.17793,0.265974,0.318558,0,0,0.609127,no
0.043645,0,0.196721,0,0.17793,0.265974,0.079639,0,0,0.152282,no
0.065467,0,0,0,0.17793,0.265974,0.079639,0,0,0.152282,no
0.152756,0,0,0,0.17793,0.265974,0.079639,0,0,0.152282,no
0.065467,0,0.590162,0,0.17793,0.265974,0.079639,0,0,0.152282,no
0,0,0,0,0.35586,0.531949,0.296259,0.035017,0,0.28629,no
0.043645,0,0.196721,0,0.35586,0.531949,0.294666,0.017509,0,0.283244,no
0,0,0.590162,0,0.17793,0.265974,0.293073,0,0,0.560397,no
0,0,0,0,0.35586,0.531949,0.294666,0.017509,0,0.283244,no
0.065467,0,0.196721,0,0.35586,0.531949,0.297851,0.052526,0,0.289336,no
0.196401,0.483858,0.590162,0.51668,0.35586,0.531949,0.297851,0.052526,0,0.289336,no
0.436447,0,1,0,0.35586,0.531949,0.296259,0.035017,0,0.28629,no
0.043645,0,0.196721,0,0.17793,0.265974,0.293073,0,0,0.560397,no
0.043645,0,0.393442,0,0.17793,0.265974,0.293073,0,0,0.560397,no
0.74196,0.645144,0.590162,0.688907,0.35586,0.531949,0.297851,0.052526,0,0.289336,no
0.109112,0,0.393442,0,0.17793,0.265974,0.293073,0,0,0.560397,no
0.065467,0,0.393442,0,0.17793,0.265974,0.293073,0,0,0.560397,no
0.196401,0,0.196721,0,0.17793,0.265974,0.293073,0,0,0.560397,yes
0,0,0.393442,0,0.17793,0.265974,0.09716,0,0,0.185784,no
0,0,0.393442,0,0.17793,0.265974,0.09716,0,0,0.185784,no
0,0,0.196721,0,0.17793,0.265974,0.09716,0,0,0.185784,no
0.152756,0,1,0,0.35586,0.531949,0.294666,0.315156,0,0.309132,no
0.043645,0,0,0,0.35586,0.531949,0.267588,0.157578,0,0.269539,yes
1,0.80643,0.393442,0.172227,0.88965,0.797923,0.281923,0.140069,0,0.112689,yes
0.065467,0,0.786883,0,0.17793,0.265974,0.265996,0,0,0.508621,no
0.109112,0,0.786883,0,0.17793,0.265974,0.127423,0,0,0.243651,no
0.109112,0,0,0,0.35586,0.531949,0.130609,0.017509,0,0.126394,no
0.043645,0,0.590162,0,0.17793,0.265974,0.127423,0,0,0.243651,no
0.065467,0,0.393442,0,0.35586,0.531949,0.13698,0.542769,0,0.17817,no
0.043645,0,0,0,0.35586,0.531949,0.183171,0.052526,0,0.179693,no
0.043645,0,0,0,0.35586,0.531949,0.183171,0.052526,0,0.179693,no
0.043645,0,0,0,0.35586,0.531949,0.183171,0.052526,0,0.179693,no
0.327335,0.161286,0,0,0.53379,0.531949,0.184763,0.070035,0,0.121825,no
0.043645,0,0,0,0.35586,0.531949,0.183171,0.052526,0,0.179693,no
0.501914,0.161286,0.983604,0.172227,0.88965,0.797923,0.627558,1,1,0.323447,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.53379,0.797923,0.603667,0.175087,0,0.394918,no
0.043645,0,0,0,0.53379,0.797923,0.603667,0.175087,0,0.394918,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.065467,0,0.196721,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.043645,0,0,0,0.53379,0.797923,0.603667,0.175087,0,0.394918,no
0.174579,0.161286,0.393442,0.172227,0.88965,0.797923,0.618002,0.245122,0,0.244869,no
0.240046,0.161286,0,0.172227,0.88965,0.797923,0.613223,0.210104,0,0.241824,no
0.043645,0,0.393442,0,0.35586,0.531949,0.602074,0.157578,0,0.589331,no
0.785605,0.322572,0.590162,0.344454,0.88965,0.797923,0.641894,0.787891,0.642074,0.272889,yes
0.654671,0.322572,0,0.344454,0.88965,0.797923,0.641894,0.787891,0,0.272889,yes
0.240046,0.161286,0.786883,0.172227,0.71172,0.797923,0.345635,0.507752,1,0.187307,yes
0.283691,0.161286,0.393442,0.172227,0.53379,0.797923,0.363156,0.105052,0,0.23756,no
0.305513,0.322572,0.786883,0.172227,0.53379,0.531949,0.364748,0.210104,0,0.244666,no
0.043645,0,0.196721,0,0.53379,0.531949,0.348821,0.087543,0,0.227408,no
0.349158,0.322572,0.590162,0.344454,0.88965,0.797923,0.447573,0.840417,0,0.200403,no
0.065467,0,0.590162,0,0.71172,0.797923,0.503321,0.26263,0,0.252026,no
0.087289,0,0.983604,0,0.88965,0.797923,0.522434,0.542769,0,0.218677,no
0.087289,0,0.983604,0,0.88965,0.797923,0.551105,0.350174,0,0.222941,no
0.872894,0.645144,1,0.344454,0.71172,0.797923,0.504914,1,0,0.310655,no
0.37098,0.161286,0,0.172227,0.71172,0.797923,0.458723,0.105052,0,0.223854,yes
0.043645,0,0.393442,0,0.35586,0.531949,0.329707,0.630313,0,0.370045,yes
0.043645,0,0,0,0.53379,0.797923,0.326522,0.052526,0,0.211164,no
0.043645,0,0.196721,0,0.35586,0.531949,0.328114,0.035017,0,0.316746,no
0.043645,0,0,0,0.35586,0.531949,0.576589,0.052526,0,0.555829,no
0.043645,0,0.196721,0,0.35586,0.531949,0.567033,0.017509,0,0.543646,no
0.043645,0,0,0,0.35586,0.531949,0.567033,0.017509,0,0.543646,no
0.043645,0,0,0,0.35586,0.531949,0.567033,0.017509,0,0.543646,yes
0.261868,0.322572,0,0.344454,0.35586,0.531949,0.567033,0.017509,0,0.543646,no
0.043645,0,0.196721,0,0.35586,0.531949,0.567033,0.017509,0,0.543646,yes
0.109112,0.161286,0.196721,0.172227,0.53379,0.797923,0.568625,0.035017,0,0.364461,no
0.283691,0.322572,0,0.344454,0.35586,0.531949,0.567033,0.017509,0,0.543646,no
1,0.645144,0.393442,0.688907,0.71172,0.531949,0.321743,0.035017,0,0.155327,yes
