LOC,CyclomaticComplexity,ParameterCount,NR,NAuth,stmtAdded,stmtDeleted,maxChurn,avgChurn,IsBuggy
0.261868,0.322572,0.590162,0,0,0,0,0,0,no
0.414625,0.322572,0.590162,0,0,0,0,0,0,no
0.458269,0.322572,0.393442,0,0,0,0,0,0,no
0.240046,0,0.196721,0,0,0,0,0,0,no
0.174579,0.322572,0.196721,0,0,0,0,0,0,no
0.043645,0,0.196721,0,0,0,0,0,0,no
0.851072,1,0.393442,0,0,0,0,0,0,no
0.392802,0.483858,0.196721,0,0,0,0,0,0,yes
1,1,0.196721,0,0,0,0,0,0,yes
0.065467,0,0.393442,0,0,0,0,0,0,no
0.632848,1,0.983604,0,0,0,0,0,0,no
1,1,0.393442,0,0,0,0,0,0,yes
0.458269,0.483858,0.196721,0,0,0,0,0,0,no
0.501914,0.483858,0,0,0,0,0,0,0,no
